,model,ablation,predicted,fold,fold_id,type,subject,joint,polDegree,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
101,MVPR,anthropo,vel,2-fold,fold2,eval,S3_c,elbow,2,,,,,6.193728685379028,,0.0053591479803963,,0.0041952695810732,,,,0.0208848240402272,,0.0053075441677432,,
102,MVPR,anthropo,vel,2-fold,fold2,eval,S5_c,shoulder,2,,,,,6.193728685379028,,0.0047690605624813,,0.0039723488349421,,,,0.0178883876179992,,0.0047641063474825,,
103,MVPR,anthropo,vel,2-fold,fold2,eval,S5_c,elbow,2,,,,,6.193728685379028,,0.0052116158992774,,0.0041617379564256,,,,0.0207255757773747,,0.005192278399354,,
104,MVPR,anthropo,vel,2-fold,fold2,eval,S6_c,shoulder,2,,,,,6.193728685379028,,0.0053284632774481,,0.0043351345272574,,,,0.0191728004652796,,0.005313728170112,,
105,MVPR,anthropo,vel,2-fold,fold2,eval,S6_c,elbow,2,,,,,6.193728685379028,,0.0043382854173626,,0.0033640999680775,,,,0.0177872591865958,,0.0043365244989732,,
106,MVPR,anthropo,vel,2-fold,fold2,eval,S8_c,shoulder,2,,,,,6.193728685379028,,0.006340300072522,,0.0051514740714754,,,,0.021414699511477,,0.0063393599567026,,
107,MVPR,anthropo,vel,2-fold,fold2,eval,S8_c,elbow,2,,,,,6.193728685379028,,0.0061543237411652,,0.004983497309731,,,,0.0240401738811636,,0.0061524345326407,,
108,MVPR,Tx,vel,2-fold,fold1,train,S01_a,shoulder,3,,,,,373.1711320877075,,0.0020216925763372,,0.0015889795770499,,,,0.0126346063604375,,0.0020206201323191,,
109,MVPR,Tx,vel,2-fold,fold1,train,S01_a,elbow,3,,,,,373.1711320877075,,0.0020956154999414,,0.0016209120119416,,,,0.0097501242758727,,0.0020524800313119,,
110,MVPR,Tx,vel,2-fold,fold1,train,S02_a,shoulder,3,,,,,373.1711320877075,,0.0021913309135211,,0.0016503069726181,,,,0.0127873775508387,,0.0021792141759927,,
111,MVPR,Tx,vel,2-fold,fold1,train,S02_a,elbow,3,,,,,373.1711320877075,,0.0020317985452961,,0.0015646930298706,,,,0.0224541780281526,,0.0020171332914884,,
112,MVPR,Tx,vel,2-fold,fold1,train,S04_a,shoulder,3,,,,,373.1711320877075,,0.0022692533026368,,0.0016933354913075,,,,0.0161381030755143,,0.0022688679274156,,
113,MVPR,Tx,vel,2-fold,fold1,train,S04_a,elbow,3,,,,,373.1711320877075,,0.0023943377381477,,0.0018359229644402,,,,0.0132013214584665,,0.0023909441422384,,
114,MVPR,Tx,vel,2-fold,fold1,train,S09_a,shoulder,3,,,,,373.1711320877075,,0.002441427759593,,0.001892263618127,,,,0.0122360244682829,,0.0024412037854431,,
115,MVPR,Tx,vel,2-fold,fold1,train,S09_a,elbow,3,,,,,373.1711320877075,,0.002514731330723,,0.0019181141811878,,,,0.0127974080074574,,0.0025113101595175,,
116,MVPR,Tx,vel,2-fold,fold1,train,S10_c,shoulder,3,,,,,373.1711320877075,,0.0059548429025216,,0.0048742980483098,,,,0.0185143993417245,,0.0059534755078415,,
117,MVPR,Tx,vel,2-fold,fold1,train,S10_c,elbow,3,,,,,373.1711320877075,,0.0053600462524898,,0.0042043267441628,,,,0.0233924819052312,,0.0053598555659796,,
118,MVPR,Tx,vel,2-fold,fold1,train,S11_c,shoulder,3,,,,,373.1711320877075,,0.0060517696479553,,0.0049712711526657,,,,0.0190290517892961,,0.0060511233517538,,
119,MVPR,Tx,vel,2-fold,fold1,train,S11_c,elbow,3,,,,,373.1711320877075,,0.005142647219542,,0.0040120954004177,,,,0.0200943593285292,,0.0051371090056289,,
120,MVPR,Tx,vel,2-fold,fold1,train,S12_c,shoulder,3,,,,,373.1711320877075,,0.0055040218019999,,0.0045320440882986,,,,0.0154769108145893,,0.0055039806066023,,
121,MVPR,Tx,vel,2-fold,fold1,train,S12_c,elbow,3,,,,,373.1711320877075,,0.0060042608026883,,0.00481106142627,,,,0.0219968301022135,,0.0060033658558666,,
122,MVPR,Tx,vel,2-fold,fold1,train,S14_a,shoulder,3,,,,,373.1711320877075,,0.0026434749831068,,0.0020096437441456,,,,0.0171653054647092,,0.0026434429261702,,
123,MVPR,Tx,vel,2-fold,fold1,train,S14_a,elbow,3,,,,,373.1711320877075,,0.0032007621144108,,0.0023779088915902,,,,0.0202059367466261,,0.0031993601084816,,
124,MVPR,Tx,vel,2-fold,fold1,train,S1_c,shoulder,3,,,,,373.1711320877075,,0.0049929090623514,,0.0039946860185447,,,,0.022349464460182,,0.0049926750079005,,
125,MVPR,Tx,vel,2-fold,fold1,train,S1_c,elbow,3,,,,,373.1711320877075,,0.0057805598521551,,0.0045425671971232,,,,0.0270029171090075,,0.0057757877066295,,
126,MVPR,Tx,vel,2-fold,fold1,train,S3_c,shoulder,3,,,,,373.1711320877075,,0.0057354644679813,,0.0046754278466436,,,,0.0186023399106302,,0.0057346358836927,,
127,MVPR,Tx,vel,2-fold,fold1,train,S3_c,elbow,3,,,,,373.1711320877075,,0.0049392775797814,,0.0038937448446116,,,,0.0200276345977676,,0.0049376919716288,,
128,MVPR,Tx,vel,2-fold,fold1,train,S5_c,shoulder,3,,,,,373.1711320877075,,0.0045933857897901,,0.0037674635116977,,,,0.0172658833815501,,0.0045928311208394,,
129,MVPR,Tx,vel,2-fold,fold1,train,S5_c,elbow,3,,,,,373.1711320877075,,0.0048724481039139,,0.0039044330517185,,,,0.0201736217221666,,0.0048664241278303,,
130,MVPR,Tx,vel,2-fold,fold1,train,S6_c,shoulder,3,,,,,373.1711320877075,,0.0049868780658175,,0.0040219600025504,,,,0.0201329513746962,,0.0049868649865864,,
131,MVPR,Tx,vel,2-fold,fold1,train,S6_c,elbow,3,,,,,373.1711320877075,,0.0036408770295019,,0.0028109855177046,,,,0.0173312445097051,,0.0036405667241532,,
132,MVPR,Tx,vel,2-fold,fold1,train,S8_c,shoulder,3,,,,,373.1711320877075,,0.006065728337684,,0.0049392368445572,,,,0.0178768209903906,,0.0060656696163075,,
133,MVPR,Tx,vel,2-fold,fold1,train,S8_c,elbow,3,,,,,373.1711320877075,,0.00555368901007,,0.004464820844333,,,,0.0218937119427746,,0.0055528754065556,,
134,MVPR,Tx,vel,2-fold,fold1,eval,S03_a,shoulder,3,,,,,373.1711320877075,,0.002447662945565,,0.0018710403176767,,,,0.0135012024613756,,0.0024139990033621,,
