,model,ablation,predicted,fold,fold_id,type,dataType,subject,joint,polDegree,FNO_shuff,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
105,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S6_c,elbow,,,,,,,0.0362591743469238,,0.0036021734817017,,0.0027561268118701,,,,0.0145876695826172,,0.0036016009243788,,
106,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S8_c,shoulder,,,,,,,0.0362591743469238,,0.0062040347362475,,0.0050592793079729,,,,0.0182172616352987,,0.0062038996629347,,
107,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S8_c,elbow,,,,,,,0.0362591743469238,,0.0056912756395088,,0.0046142340546567,,,,0.0215744410938932,,0.0056905694896643,,
108,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S01_a,shoulder,,,,,,,0.083245038986206,0.5288918132089804,0.0139187533287319,0.4488546957138189,0.0127793262513159,2.901744185220755,2.6947781807983726,1.0397997005695745,0.0288991303053437,0.2870313155674786,0.0139158651438859,4.90603943705095,1.0764853801382035
109,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S01_a,elbow,,,,,,,0.083245038986206,0.1987290155457432,0.0105715905464152,0.1609846544891804,0.0089799707352823,1.3418709765711578,1.254998741125544,0.5798774814610423,0.028323186694898,0.1951701583204113,0.0105684918762962,2.8337192756986327,0.4749693437868726
110,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S02_a,shoulder,,,,,,,0.083245038986206,0.5668968718264086,0.0104211710561524,0.5040688007970751,0.0093756935885147,2.723104641693067,2.5687285593503724,1.1280580355966991,0.0236859686653603,0.2604594722389456,0.0104134734642109,4.318504674042184,0.9038431711243314
111,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S02_a,elbow,,,,,,,0.083245038986206,0.1708170459089319,0.0075298078341466,0.1413195307413906,0.0062477795759727,1.2596963465979252,1.1330549480454415,0.4880955938044382,0.0260978481053077,0.1531879254563112,0.0075287506887783,2.628201886253883,0.5534093272829819
112,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S04_a,shoulder,,,,,,,0.083245038986206,0.3650745109407361,0.0122162435687248,0.299406655505419,0.0107199860326798,2.68885134765302,2.3187856336224923,0.7444800519891844,0.0284964430177137,0.2792969553840995,0.0122138187813025,4.928286699904018,1.412541599998146
113,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S04_a,elbow,,,,,,,0.083245038986206,0.385423276464915,0.01149090072389,0.3208031538599908,0.0096380176003742,1.6166507086070114,1.5335821701954049,0.908738888438487,0.0304199210114792,0.2187380567843576,0.0114904463539225,2.9003577271159764,0.5115517968869856
114,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S09_a,shoulder,,,,,,,0.083245038986206,0.3376898176778068,0.011982406227732,0.2829842736279765,0.0097818620214945,1.85470570456524,1.566712343501499,0.8264240067610114,0.0324211320080757,0.3157864901067055,0.0119422271716757,4.013566678319968,1.7204662969567015
115,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S09_a,elbow,,,,,,,0.083245038986206,0.2568346650488666,0.0112603418218191,0.1973494608797233,0.0092606112470221,0.8121174556430237,0.663623697298971,0.8646160102406625,0.0316902312511366,0.240066588646362,0.0112369577495549,2.243574004541589,0.5806405263204809
116,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S10_c,shoulder,,,,,,,0.083245038986206,0.394592769196444,0.0060125353243985,0.3169941956210023,0.0049336312971229,2.434782203451588,1.918144851704564,1.0512545941506592,0.0200106448905597,0.3900490252928836,0.0060123539854564,6.939985399250254,2.373942455895011
117,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S10_c,elbow,,,,,,,0.083245038986206,0.3618172446505064,0.0054292414719884,0.3002717372379391,0.0042540189847955,0.6281927912869534,0.5069826417919688,1.0361627250212986,0.0245539953775523,0.3585785355069581,0.0054292376755225,2.057188691207981,0.6238590014489598
118,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S11_c,shoulder,,,,,,,0.083245038986206,0.3820416725983312,0.0062296205218942,0.3154288512575149,0.005162098525344,1.9475982951650543,1.592216358559127,1.0564098072622536,0.0205771629190418,0.3811882399575991,0.0062293508043736,5.786421765993548,1.9262858542890775
119,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S11_c,elbow,,,,,,,0.083245038986206,0.2865488172077108,0.005231895198412,0.2278878502806723,0.004081396808661,0.5291320281473385,0.4342364635650856,0.8492832835929569,0.0196183025908765,0.2864998153796375,0.005231821625524,1.966978273532203,0.5263128787650477
120,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S12_c,shoulder,,,,,,,0.083245038986206,0.3773782726053096,0.0055796568704251,0.3062218362013265,0.004626227431475,2.5775803625089573,2.025392237403266,1.0249864588540265,0.0160174491796025,0.3703312551951156,0.0055796568037287,8.144595779216893,2.4486088073677914
121,MVLR,Tx,posvel,2-fold,fold1,train,CALIB,S12_c,elbow,,,,,,,0.083245038986206,0.3502844153096353,0.0060822810299861,0.2847572343204144,0.0048687712092168,0.7096027917023682,0.5822172945870928,0.9788510789950088,0.020061094139437,0.3500066486915012,0.0060805180483901,2.2111479103964,0.707978822577465
